,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
0,2019-07-25,sh603983,N丸美,29.58,29.58,29.58,29.58,20.54,9.04,44.0117,0.2381,97615,2887452.0,11861580000.0,1212780000.0
1,2019-07-26,sh603983,丸美股份,32.54,32.54,32.54,32.54,29.58,2.96,10.0068,0.0984,40362,1313379.0,13048540000.0,1334140000.0
2,2019-07-29,sh603983,丸美股份,35.79,35.79,35.79,35.79,32.54,3.25,9.9877,0.221,90629,3243612.0,14351790000.0,1467390000.0
3,2019-07-30,sh603983,丸美股份,39.37,39.37,39.37,39.37,35.79,3.58,10.0028,0.4003,164112,6461089.0,15787370000.0,1614170000.0
4,2019-07-31,sh603983,丸美股份,43.31,43.31,43.31,43.31,39.37,3.94,10.0076,5.0841,2084480,90278829.0,17367310000.0,1775710000.0
5,2019-08-01,sh603983,丸美股份,47.64,47.64,45.5,46.0,43.31,4.33,9.9977,47.9687,19667177,924112911.0,19103640000.0,1953240000.0
6,2019-08-02,sh603983,丸美股份,48.4,51.01,45.82,47.6,47.64,0.76,1.5953,65.3579,26796731,1277935967.0,19408400000.0,1984400000.0
7,2019-08-05,sh603983,丸美股份,46.08,47.8,45.01,47.8,48.4,-2.32,-4.7934,38.2382,15677673,727699619.0,18478080000.0,1889280000.0
8,2019-08-06,sh603983,丸美股份,45.5,46.46,43.55,44.23,46.08,-0.58,-1.2587,32.6865,13401463,603638266.0,18245500000.0,1865500000.0
9,2019-08-07,sh603983,丸美股份,41.0,45.88,41.0,45.0,45.5,-4.5,-9.8901,35.5357,14569652,627606015.0,16441000000.0,1681000000.0
10,2019-08-08,sh603983,丸美股份,42.14,42.5,40.06,40.23,41.0,1.14,2.7805,31.674,12986349,538126448.0,16898140000.0,1727740000.0
11,2019-08-09,sh603983,丸美股份,41.03,41.92,40.51,41.9,42.14,-1.11,-2.6341,15.9084,6522444,269344393.0,16453030000.0,1682230000.0
12,2019-08-12,sh603983,丸美股份,41.7,42.66,40.7,41.0,41.03,0.67,1.633,15.8622,6503506,272631400.0,16721700000.0,1709700000.0
13,2019-08-13,sh603983,丸美股份,40.37,41.35,39.43,41.02,41.7,-1.33,-3.1894,17.2283,7063594,284495976.0,16188370000.0,1655170000.0
14,2019-08-14,sh603983,丸美股份,42.88,43.48,40.65,41.36,40.37,2.51,6.2175,22.6729,9295876,391159095.0,17194880000.0,1758080000.0
15,2019-08-15,sh603983,丸美股份,45.55,46.05,41.53,41.53,42.88,2.67,6.2267,24.4348,10018287,438491151.0,18265550000.0,1867550000.0
16,2019-08-16,sh603983,丸美股份,44.66,45.78,44.38,44.57,45.55,-0.89,-1.9539,17.6604,7240753,324971249.0,17908660000.0,1831060000.0
17,2019-08-19,sh603983,丸美股份,45.13,46.88,44.5,44.66,44.66,0.47,1.0524,16.9094,6932858,317044686.0,18097130000.0,1850330000.0
